Pair,Subject,Condition(individual-pre/hidden/visible/individual-post),Block,Trial,StimulusType,TargetSize(small/large),TargetPosition(center/margin),ObstaclePresence(absent/present),Error(yes/no),TT,AUC,Asynchrony
1,1,2,5,11,221,2,2,1,0,0.46155,199.49,0.058954
1,1,2,5,12,121,1,2,1,0,0.41147,223.75,0.0099692
1,1,2,5,13,120,1,2,0,0,0.28111,11.369,0.078062
1,1,2,5,14,221,2,2,1,0,0.42203,179.5,0.060087
1,1,2,5,15,111,1,1,1,0,0.42147,219.29,0.050369
1,1,2,5,16,110,1,1,0,0,0.26111,15.479,0.14045
1,1,2,6,1,220,2,2,0,0,0.27136,15.003,0.079978
1,1,2,6,2,110,1,1,0,0,0.37144,51.398,0.070358
1,1,2,6,3,110,1,1,0,0,0.5019,49.378,0.17068
1,1,2,6,4,210,2,1,0,0,0.25106,8.069,0.15057
1,1,2,6,5,220,2,2,0,0,0.30114,25.627,0.12045
1,1,2,6,6,211,2,1,1,0,0.37161,146.19,0.10038
1,1,2,6,7,120,1,2,0,0,0.24103,22.703,0.050403
1,1,2,6,8,221,2,2,1,0,0.42138,149.81,0.02969
1,1,2,6,9,121,1,2,1,0,0.50132,126.95,0.26213
1,1,2,6,10,211,2,1,1,0,1.303,287.62,0.71066
1,1,2,6,11,210,2,1,0,0,0.77213,117.57,0.37054
1,1,2,6,12,111,1,1,1,0,0.3516,248.02,0.17047
1,1,2,6,13,111,1,1,1,0,0.37184,215.98,0.12001
1,1,2,6,14,120,1,2,0,0,0.32115,27.719,0.05071
1,1,2,6,15,221,2,2,1,0,0.47143,366.94,0.020719
1,1,2,6,16,121,1,2,1,0,0.53169,348.24,0.00047028
1,1,3,1,1,221,2,2,1,1,0.75538,0,0.0094774
1,1,3,1,2,220,2,2,0,0,0.24098,140.62,0.060339
1,1,3,1,3,221,2,2,1,0,0.251,325.86,0.35166
1,1,3,1,4,110,1,1,0,0,0.51229,32.965,0.19097
1,1,3,1,5,211,2,1,1,0,0.29118,283.8,0.1405
1,1,3,1,6,210,2,1,0,0,0.21089,5.1764,0.14064
1,1,3,1,7,210,2,1,0,0,0.97208,40.938,0.67081
1,1,3,1,8,120,1,2,0,0,0.32141,101.73,0.019834
1,1,3,1,9,120,1,2,0,0,0.22143,28.65,0.11992
1,1,3,1,10,121,1,2,1,0,0.31116,229.56,0.16081
1,1,3,1,11,111,1,1,1,0,0.36123,191.97,0.27143
1,1,3,1,12,110,1,1,0,0,0.21095,59.315,0.16047
1,1,3,1,13,211,2,1,1,0,0.39146,210.71,0.00020324
1,1,3,1,14,111,1,1,1,0,0.45142,170.03,0.0098455
1,1,3,1,15,121,1,2,1,0,0.433,268.24,0.061233
1,1,3,1,16,220,2,2,0,0,0.25098,28.167,0.071543
1,1,3,2,1,220,2,2,0,0,0.63133,137.23,0.14984
1,1,3,2,2,110,1,1,0,0,0.25096,31.038,0.18109
1,1,3,2,3,120,1,2,0,0,0.30094,75.261,0.020472
1,1,3,2,4,110,1,1,0,0,0.3712,40.852,0.040131
1,1,3,2,5,111,1,1,1,0,0.31163,157.69,0.10015
1,1,3,2,6,211,2,1,1,0,0.25115,145.58,0.21061
1,1,3,2,7,210,2,1,0,0,0.40143,70.772,0.10004
1,1,3,2,8,221,2,2,1,0,0.45138,214.81,0.010982
1,1,3,2,9,121,1,2,1,0,0.42127,166.45,0.00038733
1,1,3,2,10,210,2,1,0,0,0.2709,54.386,0.009673
1,1,3,2,11,221,2,2,1,0,0.25116,130.43,0.14063
1,1,3,2,12,211,2,1,1,0,0.30116,303.94,0.10078
1,1,3,2,13,111,1,1,1,0,0.42139,232.98,0.0097861
1,1,3,2,14,121,1,2,1,0,0.28099,156.74,0.10054
1,1,3,2,15,220,2,2,0,0,0.32124,50.883,4.2012e-05
1,1,3,2,16,120,1,2,0,0,0.25103,40.582,0.040091
1,1,3,3,1,220,2,2,0,0,0.45107,168.31,0.079613
1,1,3,3,2,121,1,2,1,0,0.36123,218.92,0.020547
1,1,3,3,3,210,2,1,0,0,0.36125,37.191,0.37149
1,1,3,3,4,211,2,1,1,0,0.27108,121.76,0.23124
1,1,3,3,5,211,2,1,1,0,0.32122,283.69,1.0847
1,1,3,3,6,110,1,1,0,0,0.53224,157.33,0.12073
1,1,3,3,7,120,1,2,0,0,0.301,22.856,0.039849
1,1,3,3,8,221,2,2,1,0,0.45145,322.18,0.090448
1,1,3,3,9,220,2,2,0,0,0.31113,6.7802,0.019298
1,1,3,3,10,210,2,1,0,0,0.28107,10.602,0.060519
